provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"ФОНДАЦИЯ ""СВЕТЛИНА ЗА ЖИВОТ""",130554647,Столична,гр. София,"район ""Красна поляна, ж.к. Красна поляна 1, бл. 14, вх.Б, ет. 7, ап. 43",Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Общностна работа; Осигуряване на подслон; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1724/18.09.2023 г.; Л-3129-1725/18.09.2023 г.; Л-3129-1726/18.09.2023 г.; Л-3129-1727/18.09.2023 г.; Л-3129-1728/18.09.2023 г.; Л-3129-1729/18.09.2023 г.,17.09.2028 г.,,,,,
"""ДИДЕКС КОНСУЛТ"" ООД",200267400,Елхово,гр. Елховo,"ул. ""Александър Стамболийски"" № 64",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-143/21.04.2021 г.; Л-3129-144/21.04.2021 г.,20.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА СОЦИАЛНИ И ЗДРАВНИ ГРИЖИ""",104606167,Велико Търново,гр. Велико Търново,"ул. ""Поп Харитон"" № 2, ет. 2, ап. 2",Терапия и рехабилитация; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения,Възрастни хора в надтрудособна възраст,Л-3129-145/22.04.2021 г.; Л-3129-1662/12.07.2023 г.; Л-3129-1663/12.07.2023 г.; Л-3129-1664/12.07.2023 г.,21.04.2026 г.,,,,,
"""ФЕДЕ ИН МАРИЯ 201"" ЕООД",205149562,Раковски,гр. Раковски,"ул. ""Гагарин"" № 7",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-146/22.04.2021 г.,21.04.2026 г.,,,,,"АКД-4/19.03.2025 - чл. 31, ал. 1 и ал. 2 от ЗСУ, предоставяне на социална услуга без издаден лиценз; сключено споразумение за прекратяване на админ. производство с № С-АНП-3/ 04.04.2025"
"""ПРО ТРЕВЪЛ 2"" ЕООД",206024323,Пловдив,гр. Пловдив,"ул. ""Митрополит Панарет"" № 7",Резидентна грижа,Пълнолетни лица с деменция,Л-3129-147/23.04.2021 г.; Л-3129-148/23.04.2021 г.,22.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""РЕГИОНАЛНО ДРУЖЕСТВО ЗА ПОДКРЕПА НА ЛИЦА С УМСТВЕНИ ЗАТРУДНЕНИЯ""",105013910,Видин,гр. Видин,"ул. ""Стефан Караджа"" № 13",Резидентна грижа; Дневна грижа; Терапия и рехабилитация; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Пълнолетни лица с умствена изостаналост,Л-3129-149/23.04.2021 г.; Л-3129-387/19.07.2021 г.; Л-3129-388/19.07.2021 г.; Л-3129-491/25.08.2021 г.; Л-3129-492/25.08.2021 г.; Л-3129-1457/06.02.2023 г.; Л-3129-1458/06.02.2023 г.,22.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА КОНСУЛТИРАНЕ И КРАТКА ТЕРАПИЯ - РЕШЕНИЯ-РУСЕ""",117043765,Русе,гр. Русе,"ул. ""Тутракан"" № 20",Терапия и рехабилитация; Дневна грижа; Резидентна грижа; Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Общностна работа; Застъпничество и посредничество,Лица с психични разтройства,Л-3129-150/23.04.2021 г.; Л-3129-156/26.04.2021 г.; Л-3129-157/26.04.2021 г.; Л-3129-1062/31.01.2022 г.; Л-3129-1063/31.01.2022 г.; Л-3129-1064/31.01.2022 г.; Л-3129-1065/31.01.2022 г.; Л-3129-1338/07.12.2022 г.; Л-3129-1339/07.12.2022 г.,22.04.2026 г.,,,,,
"""БОГИНЕЙК"" ООД",205408869,Благоевград,гр. Благоевград,"ул. ""Св. Св. Кирил и Методий"" № 16, вх. А, ет. 3",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-151/23.04.2021 г.,22.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""ЧОВЕЧНОСТ""",176431965,Пазарджик,гр. Пазарджик,"ул. „Константин Величков“ № 20, ет. 4, офис 409",Дневна грижа; Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Общностна работа; Осигуряване на подслон; Асистентска подкрепа,Пълнолетни лица с трайни увреждания,Л-3129-153/23.04.2021 г.; Л-3129-1549/11.04.2023 г.; Л-3129-1550/11.04.2023 г.; Л-3129-1551/11.04.2023 г.; Л-3129-1552/11.04.2023 г.; Л-3129-1553/11.04.2023 г.; Л-3129-1947/15.07.2024 г.; Л-3129-1948/15.07.2024 г.; Л-3129-1949/15.07.2024 г.; Л-3129-1999/22.10.2024 г.,22.04.2026 г.,ЛПО-1-3129-153/11.03.2025 г.,22.04.2026 г.,,,
"""ЦЕНТЪР ЗА ПСИХИЧНО ЗДРАВЕ - РУСЕ"" ЕООД",117526194,Русе,гр. Русе,"Бул. ""Тутракан"" № 20",Резидентна грижа; Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения,Пълнолетни лица с психични разтройства,Л-3129-152/23.04.2021 г.; Л-3129-1022/06.01.2022 г.; Л-3129-1023/06.01.2022 г.; Л-3129-1024/06.01.2022 г.; Л-3129-1025/06.01.2022 г.; Л-3129-1917/29.05.2024 г.,22.04.2026 г.,,,,,
"ФОНДАЦИЯ ""Х И Д ПЕРСПЕКТИВИ""",176237298,Димитровград,гр. Димитровград,"ул. ""Св. Климент Охридски"" № 1, ет. 1",Застъпничество и посредничество; Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Осигуряване на подслон,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст,Л-3129-158/26.04.2021 г.; Л-3129-159/26.04.2021 г.; Л-3129-160/26.04.2021 г.; Л-3129-2037/03.01.2025 г.; Л-3129-2038/03.01.2025 г.,25.04.2026 г.,ЛПО-1-3129-158/02.01.2025 г.,25.04.2026 г.,,,
"СДРУЖЕНИЕ ""БИЗНЕС ЦЕНТЪР БУРГАС""",102897941,Бургас,гр. Бургас,"кв. ""Победа"", ул. ""Хан Омуртаг"" № 36 Б",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,"Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация (изтърпели наказание ""лишаване от свобода"" и лишени от свобода, лица в риск от ромска етническа група и младежи, напускащи институции)",Л-3129-161/27.04.2021 г.; Л-3129-162/27.04.2021 г.; Л-3129-163/27.04.2021 г.; Л-3129-164/27.04.2021 г.; Л-3129-165/27.04.2021 г.; Л-3129-166/27.04.2021 г.,26.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""СЪЮЗ НА СЛЕПИТЕ В БЪЛГАРИЯ""",000703155,Столична,гр. София,"ж.к. Илинден, ул. ""Найчо Цанов"" № 172",Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Застъпничество и посредничество; Общностна работа; Подкрепа за придобиване на трудови умения,"Деца и лица със сензорни, физически и множествени увреждания",Л-3129-167/27.04.2021 г.; Л-3129-168/27.04.2021 г.; Л-3129-169/27.04.2021 г.; Л-3129-1317/01.11.2022 г.; Л-3129-1318/01.11.2022 г.; Л-3129-1319/01.11.2022 г.,26.04.2026 г.,,,,,
